id,name,thumbnail_url,srt_name,url,embedded_link,classification_lengths
1000,"BBC News February 21, 2018",https://img.youtube.com/vi/jaT9p-_GbhQ/0.jpg,"BBC News February 21, 2018.srt",jaT9p-_GbhQ,no_embedded,"[500, 750, 980]"
1001,"BBC News March 2, 2018",https://img.youtube.com/vi/ELwlzVK5Uu8/0.jpg,"BBC News March 2, 2018.srt",ELwlzVK5Uu8,no_embedded,"[500, 750, 980]"
1002,"BBC News March 4, 2018",https://img.youtube.com/vi/OqlX-kvmmeo/0.jpg,"BBC News March 4, 2018.srt",OqlX-kvmmeo,no_embedded,"[500, 750, 980]"
1003,"BBC News February 24, 2018",https://img.youtube.com/vi/zYUXKTdjsuo/0.jpg,"BBC News February 24, 2018.srt",zYUXKTdjsuo,no_embedded,"[500, 750, 980]"
1004,"BBC News February 18, 2018",https://img.youtube.com/vi/ZWf_QoDzEbY/0.jpg,"BBC News February 18, 2018.srt",ZWf_QoDzEbY,no_embedded,"[500, 750, 980]"
1005,"The Briefing BBC News November 16, 2017",https://img.youtube.com/vi/uLWBDArTlS8/0.jpg,"The Briefing BBC News November 16, 2017.srt",uLWBDArTlS8,no_embedded,"[500, 750, 980]"
1006,"The Briefing BBC News November 14, 2017",https://img.youtube.com/vi/223Ani8J4qQ/0.jpg,"The Briefing BBC News November 14, 2017.srt",223Ani8J4qQ,no_embedded,"[500, 750, 980]"
1007,THE SECRET OF ANTARCTICA - Full Documentary HD,https://img.youtube.com/vi/PXDUQd1l_h8/0.jpg,THE SECRET OF ANTARCTICA - Full Documentary HD.srt,PXDUQd1l_h8,no_embedded,"[500, 750, 980]"
1008,Food: A Project Envision Documentary,https://img.youtube.com/vi/5F6YuDNbdTQ/0.jpg,Food A Project Envision Documentary.srt,5F6YuDNbdTQ,no_embedded,"[500, 750, 980]"
1009,National Geographic - The Great Wall of China,https://img.youtube.com/vi/VjlydnRqcmw/0.jpg,National Geographic - The Great Wall of China.srt,VjlydnRqcmw,no_embedded,"[500, 750, 980]"
1010,BBC NATURAL WORLD Documentary The GIANT,https://img.youtube.com/vi/0y7VKfRuO28/0.jpg,The GIANT.srt,0y7VKfRuO28,no_embedded,"[500, 750, 980]"
1011,Obama on American politics and economy: the extended Vox conversation,https://img.youtube.com/vi/RBKhpV6MYto/0.jpg,obama-conversation.srt,RBKhpV6MYto,no_embedded,"[500, 750, 980]"
